iter	Passed	Remaining
0	2	2236
1	3	1885
2	4	1454
3	4	1225
4	5	1084
5	5	992
6	6	930
7	7	896
8	7	877
9	8	844
10	9	822
11	9	795
12	10	782
13	10	773
14	11	777
15	12	766
16	13	762
17	13	755
18	14	750
19	15	745
20	15	738
21	16	725
22	17	725
23	17	720
24	18	715
25	18	707
26	19	699
27	20	697
28	20	693
29	21	690
30	21	683
31	22	677
32	22	673
33	23	672
34	24	668
35	24	664
36	25	657
37	25	653
38	26	649
39	26	646
40	27	643
41	28	644
42	28	642
43	29	641
44	30	638
45	30	640
46	31	637
47	32	635
48	32	636
49	33	634
50	34	633
51	34	629
52	35	638
53	36	647
54	37	651
55	38	649
56	39	646
57	39	643
58	40	641
59	40	640
60	41	639
61	42	637
62	43	640
63	43	640
64	44	639
65	45	640
66	45	638
67	46	635
68	46	633
69	47	633
70	48	630
71	48	628
72	49	627
73	49	625
74	50	623
75	51	620
76	51	619
77	52	616
78	52	614
79	53	612
80	53	609
81	54	606
82	54	601
83	55	602
84	55	601
85	56	602
86	57	600
87	57	599
88	58	598
89	59	596
90	59	595
91	60	595
92	61	595
93	61	593
94	62	594
95	62	592
96	63	589
97	63	588
98	64	585
99	64	583
100	65	582
101	65	580
102	66	578
103	66	577
104	67	575
105	67	572
106	68	571
107	68	569
108	69	567
109	69	566
110	70	564
111	71	563
112	71	561
113	72	560
114	72	559
115	73	557
116	73	555
117	74	554
118	74	553
119	75	552
120	75	551
121	76	549
122	76	548
123	77	547
124	78	546
125	79	551
126	79	549
127	80	548
128	81	547
129	81	546
130	82	545
131	82	543
132	83	542
133	83	542
134	84	540
135	84	539
136	85	538
137	86	537
138	87	539
139	87	538
140	88	537
141	88	535
142	89	534
143	89	532
144	90	531
145	90	530
146	91	529
147	91	528
148	92	527
149	92	526
150	93	524
151	93	523
152	94	522
153	95	522
154	95	520
155	96	519
156	96	518
157	97	517
158	97	517
159	98	518
160	99	516
161	99	515
162	101	522
163	111	568
164	112	568
165	112	567
166	113	566
167	114	566
168	114	565
169	116	567
170	116	565
171	117	564
172	117	563
173	118	563
174	119	562
175	120	562
176	120	561
177	121	559
178	121	559
179	122	558
180	123	558
181	124	558
182	124	557
183	125	556
184	126	557
185	127	556
186	127	556
187	128	554
188	128	553
189	129	553
190	130	552
191	130	550
192	131	549
193	131	548
194	132	546
195	133	545
196	133	545
197	134	544
198	135	544
199	135	543
200	136	541
201	137	541
202	137	540
203	138	539
204	139	539
205	139	539
206	140	538
207	141	537
208	141	537
209	142	536
210	143	535
211	144	535
212	144	534
213	145	534
214	146	533
215	146	532
216	147	531
217	147	530
218	148	529
219	149	528
220	150	529
221	150	528
222	151	527
223	152	527
224	152	526
225	153	526
226	154	526
227	155	525
228	155	524
229	156	524
230	157	523
231	157	523
232	158	522
233	159	521
234	159	520
235	160	520
236	161	520
237	162	519
238	162	518
239	163	517
240	164	517
241	165	516
242	165	516
243	166	515
244	167	514
245	167	514
246	168	513
247	169	513
248	170	512
249	170	512
250	171	511
251	172	510
252	172	510
253	173	509
254	174	508
255	175	509
256	176	511
257	177	510
258	178	510
259	178	509
260	179	509
261	180	508
262	181	507
263	182	507
264	182	506
265	183	506
266	184	505
267	184	505
268	185	504
269	186	503
270	187	503
271	187	502
272	188	502
273	189	501
274	189	500
275	190	499
276	191	499
277	191	498
278	192	497
279	193	496
280	193	496
281	194	495
282	195	494
283	196	494
284	196	494
285	197	493
286	198	493
287	199	492
288	200	492
289	200	491
290	201	491
291	202	490
292	203	489
293	203	489
294	204	488
295	204	487
296	205	486
297	206	485
298	206	485
299	207	484
300	208	483
301	209	483
302	209	482
303	210	481
304	211	481
305	211	480
306	212	479
307	213	479
308	214	479
309	214	478
310	215	477
311	216	477
312	217	476
313	217	476
314	218	475
315	219	474
316	219	473
317	220	473
318	221	472
319	222	471
320	222	471
321	223	470
322	224	469
323	224	469
324	225	468
325	226	467
326	226	467
327	227	466
328	228	466
329	229	465
330	229	464
331	230	464
332	231	463
333	232	462
334	232	462
335	233	461
336	234	461
337	235	462
338	236	461
339	237	460
340	238	460
341	238	459
342	239	458
343	240	458
344	240	457
345	241	456
346	242	456
347	243	455
348	244	455
349	244	454
350	245	453
351	246	453
352	247	452
353	247	452
354	248	451
355	249	450
356	249	449
357	250	448
358	250	447
359	251	447
360	252	446
361	252	445
362	253	444
363	253	443
364	254	442
365	255	442
366	255	441
367	256	440
368	257	440
369	258	439
370	258	438
371	259	437
372	260	437
373	260	436
374	261	436
375	262	435
376	263	435
377	263	434
378	264	433
379	265	432
380	265	431
381	266	431
382	267	430
383	267	429
384	268	428
385	268	427
386	269	426
387	270	426
388	270	425
389	271	424
390	272	423
391	272	423
392	273	422
393	274	422
394	275	421
395	275	420
396	276	420
397	277	419
398	278	418
399	278	418
400	279	417
401	280	416
402	281	416
403	281	415
404	282	415
405	283	414
406	284	413
407	284	413
408	285	412
409	286	411
410	286	411
411	287	410
412	288	410
413	289	409
414	289	408
415	290	408
416	291	407
417	291	406
418	292	405
419	293	405
420	294	404
421	294	403
422	295	403
423	296	402
424	296	401
425	297	400
426	298	400
427	298	399
428	299	398
429	300	397
430	300	397
431	301	396
432	302	395
433	302	394
434	303	394
435	304	393
436	304	392
437	305	392
438	306	391
439	307	390
440	307	390
441	308	389
442	309	389
443	310	388
444	311	388
445	311	387
446	312	386
447	313	385
448	313	384
449	314	384
450	314	383
451	315	382
452	316	381
453	316	380
454	317	380
455	317	379
456	318	378
457	319	377
458	320	377
459	320	376
460	321	375
461	322	375
462	322	374
463	323	373
464	324	373
465	325	372
466	326	372
467	326	371
468	327	370
469	328	369
470	328	369
471	329	368
472	330	367
473	330	367
474	331	366
475	332	365
476	332	365
477	333	364
478	334	363
479	335	363
480	335	362
481	336	361
482	337	361
483	338	360
484	339	359
485	339	359
486	340	358
487	341	357
488	341	357
489	342	356
490	343	355
491	343	355
492	344	354
493	345	353
494	345	352
495	346	352
496	347	351
497	347	350
498	348	349
499	348	348
500	349	347
501	349	347
502	350	346
503	351	345
504	351	344
505	352	344
506	353	343
507	353	342
508	354	341
509	355	341
510	355	340
511	356	339
512	357	339
513	358	338
514	358	337
515	359	337
516	360	336
517	360	335
518	361	334
519	361	333
520	362	333
521	362	332
522	364	332
523	364	331
524	365	330
525	366	329
526	366	329
527	367	328
528	368	327
529	369	327
530	369	326
531	370	325
532	371	325
533	371	324
534	372	323
535	372	322
536	373	322
537	374	321
538	374	320
539	375	319
540	375	318
541	376	318
542	377	317
543	377	316
544	378	315
545	378	315
546	379	314
547	379	313
548	380	312
549	381	311
550	381	311
551	382	310
552	383	309
553	383	308
554	384	308
555	385	307
556	386	307
557	386	306
558	387	305
559	387	304
560	388	304
561	389	303
562	389	302
563	390	301
564	391	301
565	392	300
566	392	299
567	393	299
568	394	298
569	394	297
570	395	297
571	400	299
572	401	299
573	402	298
574	403	297
575	403	297
576	404	296
577	405	295
578	405	295
579	406	294
580	407	293
581	407	292
582	408	292
583	408	291
584	409	290
585	410	289
586	410	288
587	411	288
588	411	287
589	412	286
590	413	285
591	413	285
592	414	284
593	414	283
594	415	282
595	416	281
596	416	281
597	417	280
598	418	279
599	418	279
600	419	278
601	419	277
602	420	276
603	421	276
604	421	275
605	422	274
606	423	273
607	423	273
608	424	272
609	424	271
610	425	270
611	425	269
612	426	269
613	427	268
614	427	267
615	428	267
616	429	266
617	430	265
618	430	265
619	431	264
620	432	263
621	433	263
622	433	262
623	434	261
624	435	261
625	435	260
626	436	259
627	437	259
628	438	258
629	438	257
630	439	256
631	440	256
632	440	255
633	441	254
634	442	254
635	442	253
636	443	252
637	444	252
638	445	251
639	445	250
640	446	250
641	447	249
642	448	249
643	449	248
644	449	247
645	450	246
646	451	246
647	451	245
648	452	244
649	453	243
650	453	243
651	454	242
652	455	241
653	455	241
654	456	240
655	457	239
656	457	239
657	458	238
658	459	237
659	460	237
660	461	236
661	461	235
662	462	235
663	463	234
664	463	233
665	464	232
666	465	232
667	465	231
668	466	230
669	467	230
670	467	229
671	468	228
672	468	227
673	469	227
674	470	226
675	470	225
676	471	224
677	471	224
678	472	223
679	473	222
680	473	221
681	474	221
682	475	220
683	476	220
684	477	219
685	477	218
686	478	218
687	479	217
688	479	216
689	480	215
690	481	215
691	481	214
692	482	213
693	483	213
694	483	212
695	484	211
696	484	210
697	485	210
698	486	209
699	486	208
700	487	207
701	488	207
702	488	206
703	489	205
704	490	205
705	491	204
706	492	203
707	492	203
708	493	202
709	494	201
710	494	201
711	495	200
712	496	199
713	496	198
714	497	198
715	497	197
716	498	196
717	499	196
718	499	195
719	500	194
720	513	198
721	514	198
722	515	197
723	515	196
724	516	195
725	516	195
726	517	194
727	517	193
728	518	192
729	519	191
730	520	191
731	527	193
732	528	192
733	529	191
734	530	191
735	531	190
736	531	189
737	532	188
738	532	188
739	533	187
740	534	186
741	534	185
742	535	185
743	535	184
744	536	183
745	537	182
746	538	182
747	538	181
748	539	180
749	540	180
750	540	179
751	541	178
752	542	177
753	543	177
754	543	176
755	544	175
756	545	174
757	545	174
758	546	173
759	547	172
760	547	172
761	551	172
762	551	171
763	553	170
764	554	170
765	555	169
766	556	169
767	557	168
768	558	167
769	559	167
770	561	166
771	561	165
772	562	165
773	563	164
774	563	163
775	564	162
776	565	162
777	565	161
778	566	160
779	566	159
780	567	159
781	568	158
782	568	157
783	569	156
784	570	156
785	571	155
786	572	154
787	572	154
788	573	153
789	574	152
790	575	151
791	575	151
792	576	150
793	577	149
794	577	148
795	578	148
796	579	147
797	579	146
798	580	146
799	581	145
800	581	144
801	582	143
802	583	143
803	584	142
804	585	141
805	585	140
806	586	140
807	587	139
808	587	138
809	588	138
810	589	137
811	590	136
812	591	135
813	591	135
814	592	134
815	593	133
816	593	132
817	594	132
818	595	131
819	595	130
820	596	130
821	596	129
822	597	128
823	598	127
824	598	127
825	603	127
826	603	126
827	604	125
828	605	124
829	605	124
830	606	123
831	607	122
832	607	121
833	608	121
834	609	120
835	610	119
836	610	118
837	611	118
838	612	117
839	612	116
840	613	116
841	614	115
842	614	114
843	615	113
844	616	113
845	616	112
846	617	111
847	618	110
848	619	110
849	619	109
